IP 地址,已发�?已接�?丢包�?平均延迟,下载速度 (MB/s),,,
172.67.5.147,4,2,0.5,176.66,80.93
172.67.10.201,4,2,0.5,125.24,73.95
172.67.3.252,4,3,0.25,181.58,67.68
172.67.4.148,4,2,0.5,166.23,35.09
104.16.104.116,4,2,0.5,195.6,32.42
172.67.0.137,4,2,0.5,163.13,25.26
172.67.7.5,4,2,0.5,193.76,22.46
172.67.1.100,4,2,0.5,132.78,17.66
104.18.34.18,4,2,0.5,179.76,17.05
172.64.229.205,4,2,0.5,135.77,11.99
104.16.105.215,4,2,0.5,135.77,11.99
104.16.97.84,4,2,0.5,135.77,11.99
162.159.160.199,4,2,0.5,135.77,11.99
104.16.103.42,4,2,0.5,135.77,11.99
104.16.99.145,4,2,0.5,135.77,11.99
104.16.102.185,4,2,0.5,135.77,11.99
