IP 地址,已发�?已接�?丢包�?平均延迟,下载速度 (MB/s),,,
141.101.120.79,4,2,0.5,176.66,80.93
104.18.169.149,4,2,0.5,125.24,73.95
162.159.61.156,4,3,0.25,181.58,67.68
104.17.63.63,4,2,0.5,166.23,35.09
104.18.179.149,4,2,0.5,195.6,32.42
104.16.12.250,4,2,0.5,163.13,25.26
104.16.10.120,4,2,0.5,193.76,22.46
172.64.159.132,4,2,0.5,132.78,17.66
104.22.36.208,4,2,0.5,179.76,17.05
104.18.175.75,4,2,0.5,135.77,11.99
104.18.149.106,4,2,0.5,135.77,11.99
104.16.5.33,4,2,0.5,135.77,11.99
104.16.11.140,4,2,0.5,135.77,11.99
104.18.167.242,4,2,0.5,135.77,11.99
104.18.145.93,4,2,0.5,135.77,11.99
