IP地址,最小延�?ms),最大延�?ms),平均延迟(ms),丢包�?%)
198.41.194.80,49,236,159,0
198.41.196.140,51,221,147,10
162.159.1.83,50,215,176,10
198.41.199.239,161,213,196,10
104.20.222.189,156,220,205,10
104.24.15.183,187,221,206,10
172.67.100.57,190,220,206,10
104.20.143.156,189,222,210,10
104.20.154.34,164,299,212,10
104.25.103.214,155,286,213,10
162.159.6.229,50,221,131,20
198.41.200.185,50,225,192,20
104.27.62.43,159,222,199,20
104.20.202.149,155,221,200,20
104.20.166.147,173,216,200,20
188.114.98.204,189,222,210,20
172.67.109.172,204,224,216,20
162.159.2.169,210,222,216,20
104.20.144.76,206,233,217,20
104.20.215.132,204,290,221,20
104.27.32.208,212,283,232,20
162.159.0.42,52,221,163,30
198.41.202.159,51,214,164,30
198.41.197.236,52,220,183,30
104.25.154.20,162,222,203,30
104.20.146.87,158,221,204,30
172.67.95.151,203,219,207,30
172.67.93.31,194,216,207,30
172.67.107.193,187,221,210,30
104.25.168.133,165,276,211,30
104.27.205.114,184,223,213,30
104.20.167.128,191,225,213,30
172.67.99.122,204,222,213,30
104.27.113.71,205,223,213,30
104.24.86.253,189,269,219,30
