IP地址,最小延�?ms),最大延�?ms),平均延迟(ms),丢包�?%)
104.18.76.161,50,179,128,0
104.19.170.249,119,178,154,0
104.17.233.247,118,179,154,0
104.16.47.160,147,179,154,0
104.16.49.232,118,184,155,0
104.18.6.22,118,179,157,0
104.17.228.61,116,183,158,0
104.17.255.15,119,184,158,0
104.18.37.40,118,183,160,0
104.16.51.78,121,183,161,0
104.18.24.50,147,192,162,0
104.17.227.88,118,179,163,0
104.18.3.74,146,179,163,0
104.18.4.116,119,179,163,0
104.16.40.86,118,179,163,0
104.17.253.86,147,180,163,0
104.17.226.191,147,183,164,0
104.19.167.32,148,183,164,0
104.18.10.126,147,183,164,0
104.17.17.39,147,182,164,0
104.18.16.2,147,182,164,0
104.16.59.228,148,178,166,0
104.17.239.124,148,179,166,0
104.17.26.20,147,182,167,0
104.18.14.147,117,186,167,0
104.17.248.45,148,180,169,0
104.17.30.255,148,185,170,0
104.16.43.214,147,180,170,0
104.17.243.238,147,180,172,0
104.19.160.163,148,182,173,0
104.18.8.32,147,184,173,0
104.17.28.105,147,181,175,0
104.17.19.38,149,181,176,0
104.18.178.176,51,179,126,10
104.16.15.79,51,185,127,10
104.16.55.39,118,178,151,10
104.18.26.86,147,179,158,10
104.18.7.255,147,178,158,10
104.19.165.209,119,182,159,10
104.16.61.220,147,179,161,10
104.16.44.22,117,178,161,10
104.16.45.62,117,178,161,10
104.17.249.181,119,179,161,10
104.16.34.134,147,179,162,10
104.17.237.138,120,183,162,10
104.18.2.213,118,182,162,10
104.18.18.30,146,178,164,10
104.18.10.83,118,179,165,10
104.18.11.130,146,179,165,10
104.17.21.153,147,179,165,10
104.18.12.97,148,178,165,10
104.16.50.27,119,179,168,10
104.17.254.106,148,179,168,10
104.17.16.117,146,179,168,10
104.19.162.195,148,179,168,10
104.17.232.181,148,181,169,10
104.17.250.28,118,179,171,10
172.67.156.1,146,270,190,10
104.21.230.11,169,243,191,10
172.67.145.236,148,277,196,10
172.67.70.152,118,266,207,10
172.67.77.192,188,294,237,10
104.18.72.2,50,178,83,20
104.18.184.181,52,178,151,20
104.17.29.20,117,179,159,20
104.21.19.142,149,292,203,20
172.67.159.89,149,259,209,20
172.67.74.198,127,269,212,20
172.67.155.108,147,298,229,20
104.26.6.68,168,297,233,20
172.67.66.155,168,282,235,20
172.67.144.121,151,295,236,20
172.67.69.198,154,299,241,20
104.26.14.130,173,297,260,20
172.67.65.202,249,296,277,20
162.159.43.31,50,184,98,30
162.159.34.32,49,179,123,30
104.18.67.72,50,180,137,30
104.17.229.170,118,184,162,30
172.67.154.204,148,295,211,30
104.21.233.103,148,276,225,30
172.67.173.90,200,278,246,30
172.67.175.129,205,280,250,30
104.26.12.149,214,295,253,30
172.67.68.109,213,289,253,30
172.67.75.65,142,296,255,30
104.26.11.190,230,295,275,30
