IP 地址,已发�?已接�?丢包�?平均延迟,下载速度 (MB/s),,,
104.26.8.16,4,2,0.5,176.66,80.93
162.159.249.116,4,4,0,88.76,80.57
141.101.122.45,4,2,0.5,125.24,73.95
104.26.9.134,4,3,0.25,181.58,67.68
104.21.88.47,4,2,0.5,171.96,66.47
104.24.195.42,4,3,0.25,188.57,65.05
104.19.245.93,4,2,0.5,173.43,56.34
104.21.215.57,4,3,0.25,195.73,49.87
104.20.186.219,4,2,0.5,144.19,37.57
104.17.183.172,4,4,0,104.35,37.02
190.93.245.79,4,4,0,107.83,36.5
104.27.27.205,4,2,0.5,166.23,35.09
104.18.234.214,4,4,0,89.11,34.67
104.19.119.155,4,2,0.5,185.64,33.77
172.67.210.167,4,2,0.5,195.6,32.42
104.21.63.41,4,2,0.5,173.46,31.38
104.17.135.14,4,2,0.5,96.9,28.7
162.159.42.37,4,4,0,99.22,28.65
104.16.170.203,4,3,0.25,189.7,26.35
172.66.45.115,4,2,0.5,163.13,25.26
104.17.136.115,4,2,0.5,34.76,23.9
141.101.114.154,4,4,0,104.13,23.17
104.24.38.4,4,2,0.5,193.76,22.46
104.20.156.221,4,3,0.25,178.83,20.18
104.16.254.166,4,4,0,63.71,19.03
104.16.248.185,4,4,0,58.36,18.17
172.66.46.191,4,2,0.5,132.78,17.66
104.21.193.43,4,2,0.5,180.8,17.34
172.67.209.98,4,2,0.5,179.76,17.05
108.162.193.127,4,4,0,116.48,15.75
162.159.244.22,4,4,0,134.81,13.73
108.162.195.198,4,4,0,159.29,12.82
172.66.42.192,4,2,0.5,135.77,11.99
104.16.14.131,4,4,0,34.66,11.81
