IP地址,最小延�?ms),最大延�?ms),平均延迟(ms),丢包�?%)
104.22.78.151,32,35,34,0
104.25.248.88,32,36,34,0
104.22.46.250,32,36,34,0
162.159.34.180,34,178,97,0
104.17.106.223,33,190,107,0
104.17.186.222,34,189,115,0
104.19.187.41,129,184,163,0
104.17.10.56,130,189,165,0
104.21.108.197,133,192,166,0
104.18.33.204,34,198,170,0
104.16.201.171,158,189,176,0
198.41.200.155,34,202,179,0
104.21.43.63,187,203,195,0
104.21.200.244,186,210,196,0
104.21.207.249,162,216,197,0
104.19.225.6,222,236,230,0
104.25.240.243,31,35,33,10
104.22.40.65,32,34,33,10
104.22.75.109,32,37,33,10
104.22.67.64,32,35,34,10
104.22.33.110,32,37,34,10
104.22.77.225,33,35,34,10
104.22.76.28,33,35,34,10
104.22.36.162,33,35,34,10
104.17.171.103,33,189,89,10
190.93.244.147,34,183,89,10
104.17.214.57,31,188,94,10
104.17.57.174,33,188,95,10
104.17.183.151,34,186,108,10
104.19.223.233,33,189,112,10
162.159.137.70,37,236,125,10
104.17.212.107,34,190,125,10
162.159.130.66,37,235,143,10
162.159.138.12,38,235,145,10
104.17.109.233,34,191,149,10
104.17.166.77,34,190,151,10
104.18.21.242,118,191,163,10
104.17.68.164,131,190,167,10
172.67.33.175,129,190,167,10
172.67.187.200,132,197,169,10
104.19.247.34,131,191,170,10
172.67.77.88,147,178,171,10
198.41.206.181,32,203,171,10
104.16.67.194,158,189,174,10
104.17.248.101,153,178,174,10
104.18.43.23,32,202,175,10
104.19.241.252,158,189,175,10
104.16.144.64,131,189,178,10
104.16.17.190,158,189,178,10
104.25.12.226,129,207,182,10
104.24.148.214,129,209,184,10
172.67.217.71,162,195,187,10
104.25.228.109,158,210,187,10
104.25.219.137,152,196,188,10
104.19.28.141,160,205,189,10
104.21.77.80,160,208,191,10
104.20.107.90,159,204,192,10
104.21.192.240,159,208,193,10
104.24.233.67,158,210,195,10
104.24.143.77,189,208,199,10
104.19.236.144,223,235,229,10
104.19.237.77,222,234,229,10
104.19.232.199,223,234,229,10
172.64.229.94,222,235,229,10
162.159.160.136,222,236,230,10
104.19.227.186,225,233,230,10
104.19.228.149,222,237,231,10
104.22.66.35,32,35,33,20
104.25.247.128,33,35,34,20
104.22.47.197,31,37,34,20
162.159.133.87,37,227,61,20
104.19.203.24,33,189,73,20
104.17.218.171,34,182,80,20
104.17.98.51,33,186,83,20
190.93.245.6,33,182,84,20
104.17.50.77,33,188,87,20
104.17.161.180,32,190,88,20
104.18.74.58,33,178,94,20
104.19.194.165,33,188,99,20
104.16.243.38,32,187,102,20
198.41.212.112,34,179,103,20
162.159.128.241,36,234,110,20
104.19.202.167,33,189,118,20
162.159.241.74,33,189,121,20
162.159.245.142,33,189,122,20
162.159.60.135,33,190,122,20
104.19.195.51,33,188,125,20
104.18.44.0,33,203,126,20
162.159.58.8,33,208,134,20
108.162.198.52,34,190,138,20
162.159.242.5,32,188,140,20
104.16.246.176,34,190,141,20
104.19.219.33,32,188,143,20
162.159.24.84,33,200,153,20
172.67.36.169,153,184,166,20
104.16.21.130,133,189,167,20
104.17.70.156,129,190,168,20
104.17.34.82,130,190,168,20
104.16.187.174,129,190,170,20
104.16.69.173,154,189,171,20
104.16.31.27,131,189,172,20
162.159.22.131,34,202,172,20
104.16.232.220,154,190,172,20
104.16.25.27,158,190,172,20
104.16.92.179,129,191,172,20
162.159.207.192,129,210,173,20
104.16.225.142,130,191,173,20
104.19.189.167,131,190,173,20
104.17.76.192,130,190,174,20
108.162.193.28,35,204,174,20
104.19.246.130,152,189,175,20
104.22.27.14,158,189,175,20
104.22.15.9,158,190,175,20
104.17.88.214,158,189,175,20
172.67.35.165,153,190,176,20
172.67.190.157,143,205,176,20
104.17.41.73,129,190,177,20
104.17.44.5,152,189,177,20
172.67.214.133,163,192,177,20
172.67.218.118,161,194,178,20
104.16.150.88,159,191,179,20
198.41.201.110,34,204,180,20
104.20.249.12,131,209,181,20
104.16.180.55,157,194,181,20
104.21.41.108,134,198,181,20
104.20.213.151,132,201,183,20
104.21.65.89,162,208,185,20
172.67.177.130,160,213,186,20
172.67.61.180,160,201,186,20
104.21.7.97,162,203,187,20
104.23.118.116,154,201,187,20
162.159.16.121,159,205,191,20
104.24.195.84,152,211,191,20
104.25.216.0,161,230,194,20
104.25.16.192,173,213,195,20
104.25.3.56,161,208,196,20
104.25.211.115,192,201,196,20
104.19.55.186,187,207,196,20
104.25.82.235,188,210,197,20
104.24.157.51,182,207,197,20
104.25.194.8,193,208,199,20
172.67.139.107,222,234,226,20
104.19.230.228,223,235,230,20
104.19.229.2,223,235,230,20
104.19.224.243,227,235,232,20
104.22.44.194,33,35,33,30
172.64.153.235,32,35,34,30
104.22.65.175,33,36,34,30
104.17.188.169,33,130,48,30
104.17.193.33,33,185,77,30
104.19.217.37,33,182,91,30
104.16.8.119,32,176,91,30
104.17.143.132,33,189,92,30
104.17.173.24,34,189,92,30
162.159.153.108,37,234,93,30
104.16.252.54,34,189,97,30
104.19.205.34,33,187,98,30
104.16.249.156,33,189,99,30
104.19.193.165,34,189,99,30
104.19.215.183,33,189,99,30
104.17.222.35,33,160,101,30
104.17.204.48,34,188,101,30
162.159.254.174,32,188,108,30
104.17.62.217,33,188,109,30
104.17.52.164,34,189,113,30
104.17.51.143,35,187,113,30
104.17.54.195,33,189,114,30
104.17.141.146,33,188,116,30
104.17.104.130,34,188,121,30
104.19.204.112,32,191,122,30
104.19.214.231,34,189,123,30
104.17.189.219,34,189,127,30
104.17.203.33,32,188,127,30
172.64.231.181,33,215,135,30
104.17.196.152,35,191,135,30
172.64.156.167,34,192,136,30
104.17.164.6,34,191,137,30
104.19.192.127,33,160,139,30
104.18.47.95,34,192,140,30
162.159.246.73,33,190,144,30
172.64.144.185,35,194,144,30
162.159.49.161,32,200,146,30
104.18.42.191,33,210,152,30
104.19.211.129,34,190,152,30
104.18.10.170,118,179,152,30
104.17.140.212,34,189,155,30
104.16.47.94,146,177,156,30
104.26.13.33,117,177,156,30
172.67.174.84,118,178,157,30
104.16.202.25,131,183,157,30
104.16.119.205,128,190,159,30
104.18.17.180,118,179,160,30
104.21.19.83,117,178,160,30
